Player,Pitches,Total,Pitch %,PA,AB,BIP,Hits,1B,2B,3B,HR,SO,K%,BB,BB%,Whiffs,Swings,BA,xBA,OBP,xOBP,SLG,xSLG,wOBA,xwOBA,Barrels,BABIP,ISO,Whiff%,EV (MPH),Adj. EV (MPH),LA (°),Dist (ft),Hard Hit%,Barrel/BBE%,Barrel/PA%
"Keith, Colt",2011,2011,100.0,552,514,408,134,102,15,4,13,108,19.6,34,6.2,226,978,.261,.268,.308,.315,.381,.394,.302,.312,23,.306,.121,23.1,87.8,91.6,11,163,35.3,5.6,4.2
"Taveras, Leody",2008,2008,100.0,529,480,375,110,78,17,3,12,112,21.2,42,7.9,257,980,.229,.240,.289,.301,.352,.368,.282,.295,22,.272,.123,26.2,88.1,91.2,14,154,35.5,5.9,4.2
"Marsh, Brandon",2007,2007,100.0,476,418,270,104,68,17,3,16,154,32.4,50,10.5,228,829,.249,.236,.328,.321,.419,.406,.326,.324,27,.348,.170,27.5,90.9,92.0,14,168,47.4,10.0,5.7
"Ramos, Heliot",2003,2003,100.0,514,473,343,127,80,23,3,21,134,26.1,35,6.8,289,"1,008",.268,.251,.319,.305,.463,.482,.336,.339,50,.329,.195,28.7,91.5,92.4,11,169,47.5,14.6,9.7
"Benintendi, Andrew",1995,1995,100.0,521,477,384,109,69,20,0,20,96,18.4,40,7.7,202,958,.229,.243,.288,.302,.396,.389,.298,.303,24,.245,.168,21.1,87.7,90.9,16,164,34.4,6.3,4.6
"Langeliers, Shea",1993,1993,100.0,532,482,343,108,59,18,2,29,145,27.3,39,7.3,288,986,.224,.241,.286,.302,.450,.456,.315,.328,44,.252,.226,29.2,91.3,92.7,16,168,44.0,12.8,8.3
"Sánchez, Jesús",1991,1991,100.0,534,488,351,123,79,25,1,18,140,26.2,39,7.3,331,"1,060",.252,.264,.311,.323,.418,.468,.318,.343,43,.316,.166,31.2,92.3,93.3,8,148,51.3,12.3,8.1
"O'Neill, Tyler",1984,1984,100.0,468,411,254,99,50,18,0,31,159,34.0,48,10.3,302,885,.241,.213,.329,.306,.511,.480,.360,.339,44,.305,.270,34.1,90.9,92.9,20,163,48.8,17.3,9.4
"O'Hoppe, Logan",1983,1983,100.0,521,478,326,117,79,17,1,20,154,29.6,33,6.3,347,"1,032",.245,.252,.304,.310,.410,.455,.312,.331,39,.318,.165,33.6,90.3,92.3,15,165,46.3,12.0,7.5
"Kim, Ha-Seong",1982,1982,100.0,465,403,333,94,64,16,3,11,77,16.6,53,11.4,121,753,.233,.245,.323,.337,.370,.352,.308,.313,16,.261,.136,16.1,86.5,91.5,14,157,35.4,4.8,3.4
"Schneider, Davis",1963,1963,100.0,452,396,258,76,43,19,1,13,143,31.6,46,10.2,256,835,.192,.199,.281,.291,.343,.359,.277,.291,31,.257,.152,30.7,88.6,91.4,21,165,38.0,12.0,6.9
"Conforto, Michael",1963,1963,100.0,486,437,322,104,54,27,3,20,118,24.3,41,8.4,222,880,.238,.257,.309,.327,.451,.479,.327,.350,38,.278,.213,25.2,90.2,92.5,15,158,46.0,11.8,7.8
"Young, Jacob",1955,1955,100.0,521,468,377,120,92,24,1,3,102,19.6,30,5.8,169,877,.256,.253,.316,.314,.331,.317,.290,.286,6,.321,.075,19.3,81.1,90.5,2,130,28.9,1.6,1.2
"Yastrzemski, Mike",1951,1951,100.0,472,427,305,98,55,16,9,18,124,26.3,37,7.8,225,860,.230,.219,.299,.290,.436,.397,.318,.301,32,.280,.206,26.2,89.5,91.8,18,167,41.0,10.5,6.8
"Stephenson, Tyler",1947,1947,100.0,513,457,342,118,72,26,1,19,117,22.8,46,9.0,191,842,.258,.241,.335,.322,.444,.403,.339,.322,31,.307,.186,22.7,90.2,92.0,11,159,43.9,9.1,6.0
"Canha, Mark",1946,1946,100.0,460,393,302,95,68,20,0,7,96,20.9,49,10.7,176,809,.242,.212,.341,.319,.346,.306,.310,.288,10,.298,.104,21.8,88.4,91.1,10,145,37.4,3.3,2.2
"Polanco, Jorge",1945,1945,100.0,465,416,281,89,62,11,0,16,137,29.5,43,9.2,245,872,.214,.226,.292,.304,.356,.399,.288,.309,25,.275,.142,28.1,87.5,91.7,17,167,37.4,8.9,5.4
"Lux, Gavin",1939,1939,100.0,487,439,331,110,74,24,2,10,110,22.6,44,9.0,204,874,.251,.259,.320,.330,.383,.386,.310,.318,20,.312,.132,23.3,88.3,91.2,9,152,41.1,6.0,4.1
"Mullins, Cedric",1938,1938,100.0,499,444,350,104,67,16,3,18,98,19.6,41,8.2,191,996,.234,.227,.305,.298,.405,.355,.310,.291,17,.261,.171,19.2,86.1,90.9,21,156,33.4,4.9,3.4
"Pham, Tommy",1923,1923,100.0,478,440,335,109,77,20,3,9,106,22.2,35,7.3,175,779,.248,.263,.305,.320,.368,.407,.297,.319,24,.307,.120,22.5,90.4,92.5,11,158,42.7,7.2,5.0
"O'Hearn, Ryan",1920,1920,100.0,492,443,377,117,78,21,3,15,69,14.0,44,8.9,162,897,.264,.278,.331,.345,.427,.461,.330,.351,26,.282,.163,18.1,89.6,92.0,12,159,40.1,6.9,5.3
"Toglia, Michael",1920,1920,100.0,456,399,255,87,45,14,3,25,147,32.2,52,11.4,302,865,.218,.244,.308,.332,.456,.503,.329,.358,44,.270,.238,34.9,92.1,92.8,15,183,50.2,17.3,9.6
"Blackmon, Charlie",1919,1919,100.0,497,449,364,115,74,24,5,12,86,17.3,41,8.2,177,920,.256,.249,.326,.320,.412,.365,.323,.306,19,.293,.156,19.2,84.7,90.7,16,151,27.2,5.2,3.8
"Crawford, J.P.",1911,1911,100.0,451,392,291,79,52,16,2,9,102,22.6,52,11.5,159,786,.202,.227,.304,.326,.321,.363,.283,.309,19,.248,.120,20.2,87.2,91.4,13,153,37.8,6.5,4.2
"Rojas, Josh",1901,1901,100.0,474,422,317,95,66,19,2,8,108,22.8,44,9.3,211,866,.225,.223,.301,.301,.336,.350,.285,.292,18,.282,.111,24.4,87.8,90.9,15,165,38.2,5.7,3.8
"Mountcastle, Ryan",1901,1901,100.0,507,473,365,128,83,30,2,13,114,22.5,27,5.3,268,"1,067",.271,.272,.308,.313,.425,.445,.316,.332,32,.327,.154,25.1,90.8,92.0,10,167,45.2,8.8,6.3
"Caballero, José",1894,1894,100.0,482,441,314,100,66,24,1,9,133,27.6,26,5.4,274,947,.227,.217,.282,.275,.347,.315,.277,.267,16,.301,.120,28.9,81.9,90.5,15,142,25.2,5.1,3.3
"García Jr., Luis",1883,1883,100.0,526,500,415,141,97,25,1,18,86,16.3,25,4.8,207,974,.282,.278,.316,.313,.444,.452,.328,.331,33,.310,.162,21.3,88.5,91.7,8,149,41.7,8.0,6.3
"Seager, Corey",1872,1872,100.0,522,475,381,132,81,21,0,30,96,18.4,42,8.0,232,993,.278,.289,.339,.351,.512,.561,.365,.390,58,.291,.234,23.4,92.1,92.8,14,170,50.7,15.2,11.1
"Wong, Connor",1865,1865,100.0,486,447,336,125,87,24,1,13,114,23.5,27,5.6,277,962,.280,.231,.332,.289,.425,.355,.330,.288,21,.348,.145,28.8,85.4,91.2,12,153,34.5,6.3,4.3
"DeJong, Paul",1851,1851,100.0,482,445,294,101,60,17,0,24,156,32.4,23,4.8,375,"1,074",.227,.218,.276,.270,.427,.395,.302,.291,30,.285,.200,34.9,87.8,91.7,20,164,41.5,10.2,6.2
"Melendez, MJ",1845,1845,100.0,450,412,299,85,42,23,3,17,113,25.1,34,7.6,286,968,.206,.239,.272,.302,.400,.425,.292,.317,25,.241,.194,29.5,91.1,92.0,15,165,45.2,8.4,5.6
"Adell, Jo",1840,1840,100.0,450,405,282,84,47,15,2,20,126,28.0,34,7.6,273,915,.207,.224,.278,.296,.402,.418,.296,.312,33,.244,.195,29.8,89.8,92.3,16,159,44.7,11.7,7.3
"Schuemann, Max",1835,1835,100.0,459,396,286,87,66,14,0,7,119,25.9,47,10.2,222,780,.220,.222,.311,.315,.308,.338,.281,.296,16,.292,.088,28.5,87.4,91.0,16,161,37.4,5.6,3.5
"Stanton, Giancarlo",1829,1829,100.0,456,416,275,96,49,20,0,27,143,31.4,36,7.9,294,855,.231,.249,.294,.312,.474,.509,.329,.352,57,.278,.243,34.4,94.6,94.9,15,170,55.3,20.7,12.5
"Riley, Austin",1822,1822,100.0,469,425,309,109,62,26,2,19,118,25.2,37,7.9,251,913,.256,.267,.322,.334,.461,.505,.338,.361,46,.310,.205,27.5,93.3,93.2,16,175,53.4,14.9,9.8
"Meyers, Jake",1817,1817,100.0,512,460,351,101,65,20,3,13,116,22.7,35,6.8,241,893,.220,.235,.287,.304,.361,.383,.285,.304,24,.263,.141,27.0,86.7,91.4,13,152,37.0,6.8,4.7
"Garver, Mitch",1815,1815,100.0,430,367,237,63,31,17,0,15,133,30.9,53,12.3,216,702,.172,.180,.286,.295,.341,.335,.281,.285,20,.216,.169,30.8,89.9,92.0,18,164,39.7,8.4,4.7
"Butler, Lawrence",1815,1815,100.0,451,412,308,108,60,24,2,22,108,23.9,35,7.8,233,866,.262,.261,.317,.319,.490,.471,.345,.342,34,.301,.228,26.9,91.1,92.2,11,166,47.4,11.0,7.5
"Pederson, Joc",1810,1810,100.0,447,367,266,101,60,17,1,23,105,23.5,53,11.9,199,796,.275,.264,.390,.383,.515,.480,.391,.378,34,.322,.240,25.0,91.7,92.7,16,171,46.2,12.8,7.6
"Jeffers, Ryan",1807,1807,100.0,465,412,325,93,50,22,0,21,94,20.2,32,6.9,207,876,.226,.227,.300,.302,.432,.386,.317,.304,27,.238,.206,23.6,86.6,91.4,16,157,33.8,8.3,5.8
"Abreu, Wilyer",1806,1806,100.0,447,399,279,101,51,33,2,15,125,28.0,40,8.9,257,868,.253,.229,.322,.304,.459,.418,.336,.317,31,.326,.206,29.6,91.6,92.5,19,172,50.5,11.1,6.9
"Moore, Dylan",1804,1804,100.0,439,367,251,74,37,23,4,10,122,27.8,52,11.8,190,765,.202,.201,.320,.322,.368,.325,.307,.298,22,.267,.166,24.8,88.3,91.4,22,174,36.3,8.8,5.0
"Bogaerts, Xander",1791,1791,100.0,462,427,355,113,86,15,1,11,78,16.9,28,6.1,145,791,.265,.263,.307,.309,.382,.383,.300,.306,18,.297,.117,18.3,88.1,91.5,11,139,33.2,5.1,3.9
"Siri, Jose",1788,1788,100.0,447,402,238,75,40,16,1,18,170,38.0,30,6.7,381,910,.187,.200,.253,.268,.366,.409,.270,.296,35,.261,.179,41.9,86.8,91.4,14,157,41.6,14.7,7.8
"McCarthy, Jake",1786,1786,100.0,494,442,372,126,98,13,7,8,78,15.8,30,6.1,155,881,.285,.265,.348,.332,.400,.359,.329,.311,10,.329,.115,17.6,81.8,90.3,6,142,24.5,2.7,2.0
"Bailey, Patrick",1782,1782,100.0,446,399,307,92,67,16,1,8,100,22.4,39,8.7,201,857,.231,.258,.294,.324,.336,.398,.279,.319,17,.282,.105,23.5,90.3,91.9,11,161,43.0,5.5,3.8
"Heim, Jonah",1781,1781,100.0,491,459,371,101,75,12,1,13,90,18.3,26,5.3,200,967,.220,.228,.267,.275,.336,.356,.265,.277,22,.246,.115,20.7,88.4,91.4,15,154,36.4,5.9,4.5
"Candelario, Jeimer",1781,1781,100.0,462,427,316,96,51,23,2,20,114,24.7,26,5.6,268,920,.225,.221,.277,.274,.429,.364,.304,.280,26,.257,.204,29.1,86.9,91.4,12,145,34.5,8.2,5.6
"Triolo, Jared",1764,1764,100.0,446,394,281,85,65,10,1,9,118,26.5,42,9.4,231,842,.216,.224,.296,.307,.315,.332,.275,.289,15,.279,.099,27.4,88.0,91.3,13,161,39.1,5.3,3.4
"Kelenic, Jarred",1758,1758,100.0,448,412,283,95,60,18,2,15,133,29.7,31,6.9,293,877,.231,.241,.284,.294,.393,.412,.294,.308,28,.300,.163,33.4,89.6,91.9,16,171,45.2,9.9,6.3
"Haniger, Mitch",1758,1758,100.0,423,380,255,79,55,12,0,12,126,29.8,40,9.5,250,774,.208,.216,.286,.294,.334,.364,.277,.292,23,.276,.126,32.3,90.5,92.4,14,152,45.9,9.0,5.4
"Vientos, Mark",1756,1756,100.0,454,413,283,110,61,22,0,27,135,29.7,33,7.3,301,876,.266,.246,.322,.305,.516,.463,.356,.331,40,.324,.249,34.4,91.2,92.6,11,154,46.6,14.1,8.8
"Pérez, Wenceel",1738,1738,100.0,420,384,297,93,62,16,6,9,90,21.4,32,7.6,168,801,.242,.242,.301,.302,.385,.356,.300,.292,13,.294,.143,21.0,87.7,90.7,17,160,30.6,4.4,3.1
"Perkins, Blake",1734,1734,100.0,433,383,281,92,71,13,2,6,108,24.9,41,9.5,199,735,.240,.218,.314,.297,.332,.311,.288,.275,11,.313,.091,27.1,86.2,91.0,12,152,37.7,3.9,2.5
"Pages, Andy",1719,1719,100.0,441,402,299,100,63,23,1,13,107,24.3,28,6.3,229,877,.249,.251,.305,.310,.408,.423,.310,.321,32,.304,.159,26.1,88.6,91.6,21,164,40.1,10.7,7.3
"Raley, Luke",1713,1713,100.0,455,404,273,98,55,19,2,22,135,29.7,27,5.9,306,888,.243,.220,.320,.301,.463,.418,.339,.316,30,.305,.220,34.5,87.8,92.4,12,148,41.8,11.0,6.6
"McNeil, Jeff",1711,1711,100.0,471,424,360,101,63,26,0,12,68,14.4,34,7.2,166,948,.238,.235,.306,.305,.384,.336,.304,.288,11,.256,.146,17.5,86.7,90.8,15,149,31.1,3.1,2.3
"Kiner-Falefa, Isiah",1701,1701,100.0,494,463,390,123,95,18,3,7,78,15.8,16,3.2,117,785,.266,.251,.303,.292,.363,.346,.293,.283,9,.305,.097,14.9,85.1,91.0,8,146,29.7,2.3,1.8
"Urshela, Gio",1688,1688,100.0,458,430,363,108,79,19,1,9,72,15.7,22,4.8,188,921,.251,.264,.286,.301,.363,.389,.283,.302,18,.280,.112,20.4,86.3,90.6,10,154,28.4,5.0,3.9
"Harris II, Michael",1685,1685,100.0,469,440,349,116,83,14,3,16,94,20.0,22,4.7,233,928,.264,.284,.303,.325,.418,.461,.312,.344,35,.300,.155,25.1,90.3,93.1,7,151,47.0,10.0,7.5
"Lowe, Josh",1672,1672,100.0,383,353,232,85,54,19,2,10,123,32.1,28,7.3,275,862,.241,.228,.295,.284,.391,.388,.299,.295,24,.338,.150,31.9,90.8,91.3,17,164,46.1,10.3,6.3
"Rocchio, Brayan",1669,1669,100.0,441,383,300,79,53,18,0,8,90,20.4,43,9.8,194,800,.206,.210,.296,.301,.316,.302,.276,.275,12,.245,.110,24.3,82.7,90.2,8,140,22.3,4.0,2.7
"Tellez, Rowdy",1666,1666,100.0,421,383,299,93,62,18,0,13,89,21.1,31,7.4,158,721,.243,.237,.299,.297,.392,.394,.301,.302,24,.280,.149,21.9,89.4,92.0,17,164,36.5,8.0,5.7
"Nootbaar, Lars",1659,1659,100.0,403,348,273,85,52,18,3,12,79,19.6,50,12.4,117,617,.244,.264,.338,.356,.417,.455,.331,.355,27,.281,.172,19.0,91.4,92.8,6,151,49.5,9.9,6.7
"Ruiz, Keibert",1659,1659,100.0,485,459,410,105,71,21,0,13,54,11.1,16,3.3,105,867,.229,.251,.260,.283,.359,.350,.268,.279,13,.232,.131,12.1,85.3,91.0,20,153,25.6,3.2,2.7
"Benson, Will",1656,1656,100.0,388,343,192,64,29,19,2,14,154,39.7,40,10.3,308,789,.187,.180,.274,.268,.376,.333,.285,.268,22,.282,.190,39.0,88.8,91.3,17,155,40.1,11.5,5.7
"Renfroe, Hunter",1652,1652,100.0,424,385,302,88,55,18,0,15,84,19.8,36,8.5,172,734,.229,.223,.297,.292,.392,.362,.302,.291,20,.254,.164,23.4,88.5,92.4,17,154,39.4,6.6,4.7
"Joe, Connor",1651,1651,100.0,415,364,275,83,51,22,1,9,91,21.9,43,10.4,183,712,.228,.206,.318,.299,.368,.308,.305,.277,13,.278,.140,25.7,85.3,91.4,16,146,32.7,4.7,3.1
"Albies, Ozzie",1649,1649,100.0,435,399,338,100,60,29,1,10,65,14.9,27,6.2,191,933,.251,.246,.303,.301,.404,.387,.307,.302,21,.274,.153,20.5,88.4,91.0,18,153,32.0,6.2,4.8
"Bader, Harrison",1647,1647,100.0,435,401,313,95,64,19,0,12,94,21.6,20,4.6,188,767,.237,.243,.283,.291,.374,.378,.286,.295,20,.276,.137,24.5,87.2,91.5,12,150,35.5,6.4,4.6
"Wade Jr., LaMonte",1639,1639,100.0,396,331,245,86,62,16,0,8,90,22.7,57,14.4,162,670,.260,.259,.372,.373,.381,.428,.337,.354,23,.331,.121,24.2,90.1,92.4,13,168,44.1,9.4,5.8
"Wells, Austin",1638,1638,100.0,414,354,275,81,49,18,1,13,87,21.0,47,11.4,220,807,.229,.242,.322,.339,.395,.429,.315,.339,25,.261,.167,27.3,87.5,91.4,16,167,38.9,9.1,6.0
"Westburg, Jordan",1634,1634,100.0,447,416,321,110,61,26,5,18,97,21.7,22,4.9,244,833,.264,.281,.312,.328,.481,.491,.340,.353,38,.305,.216,29.3,90.8,92.7,13,161,46.1,11.8,8.5
"Lopez, Nicky",1628,1628,100.0,445,398,337,96,80,12,3,1,67,15.1,37,8.3,153,789,.241,.227,.312,.299,.294,.288,.275,.268,5,.288,.053,19.4,83.7,89.8,5,136,16.9,1.5,1.1
"Singleton, Jon",1626,1626,100.0,404,354,247,83,56,13,1,13,110,27.2,47,11.6,199,661,.234,.228,.322,.318,.387,.383,.313,.311,22,.299,.153,30.1,88.7,91.9,13,162,37.2,8.9,5.4
"Naylor, Bo",1624,1624,100.0,388,354,236,71,46,10,2,13,122,31.4,28,7.2,215,761,.201,.196,.262,.258,.350,.326,.269,.260,19,.262,.150,28.3,88.3,91.5,19,162,37.7,8.1,4.9
"Lowe, Brandon",1624,1624,100.0,423,385,275,94,51,19,3,21,112,26.5,31,7.3,294,898,.244,.254,.307,.317,.473,.485,.335,.346,34,.287,.229,32.7,89.8,91.9,15,166,44.7,12.4,8.0
"Robert Jr., Luis",1609,1609,100.0,423,393,253,88,55,19,0,14,141,33.3,26,6.1,308,854,.224,.210,.275,.263,.379,.364,.285,.277,25,.310,.155,36.1,90.1,92.0,14,155,40.7,9.9,5.9
"Gorman, Nolan",1594,1594,100.0,399,365,215,74,40,15,0,19,151,37.8,32,8.0,314,812,.203,.209,.268,.275,.400,.433,.290,.306,36,.281,.197,38.7,88.5,91.5,20,172,38.6,16.7,9.0
"Yoshida, Masataka",1593,1593,100.0,421,378,328,106,75,21,0,10,52,12.4,27,6.4,106,724,.280,.258,.349,.331,.415,.394,.336,.322,18,.302,.135,14.6,88.0,91.8,11,154,37.5,5.5,4.3
"Realmuto, J.T.",1583,1583,100.0,412,380,279,101,68,18,1,14,102,24.8,26,6.3,209,799,.266,.268,.320,.323,.429,.459,.326,.339,29,.328,.163,26.2,89.2,92.2,9,153,46.6,10.4,7.0
"Isbel, Kyle",1582,1582,100.0,426,384,306,88,59,13,8,8,88,20.7,27,6.3,141,729,.229,.234,.287,.293,.367,.333,.286,.281,12,.276,.138,19.3,86.2,91.5,8,140,36.3,3.9,2.8
"Torkelson, Spencer",1582,1582,100.0,379,341,237,75,43,21,1,10,105,27.7,32,8.4,193,729,.220,.209,.294,.284,.375,.351,.294,.282,16,.286,.155,26.5,89.0,91.6,20,160,39.7,6.8,4.2
"Horwitz, Spencer",1582,1582,100.0,379,328,262,87,56,19,0,12,70,18.5,40,10.6,141,728,.265,.254,.354,.346,.433,.419,.344,.338,21,.300,.168,19.4,88.2,90.9,14,163,36.6,8.0,5.5
"Perdomo, Geraldo",1580,1580,100.0,388,337,291,92,66,21,2,3,58,14.9,36,9.3,78,640,.273,.231,.344,.307,.374,.314,.317,.281,9,.317,.101,12.2,84.2,90.5,14,149,25.8,3.1,2.3
"Larnach, Trevor",1576,1576,100.0,399,355,268,92,60,17,0,15,89,22.3,39,9.8,194,695,.259,.259,.336,.336,.434,.458,.336,.345,27,.304,.175,27.9,92.0,92.8,13,152,45.1,10.1,6.8
"Brown, Seth",1552,1552,100.0,400,372,261,86,60,11,1,14,112,28.0,25,6.3,235,807,.231,.232,.282,.284,.379,.387,.289,.294,22,.291,.148,29.1,89.5,92.0,14,158,40.6,8.4,5.5
"Tatis Jr., Fernando",1551,1551,100.0,438,398,303,110,67,21,1,21,96,21.9,32,7.3,223,795,.276,.298,.340,.360,.492,.538,.359,.387,44,.316,.216,28.1,93.5,93.6,10,156,55.8,14.5,10.0
"Lopez, Otto",1545,1545,100.0,434,403,332,109,79,23,1,6,75,17.3,25,5.8,174,794,.270,.274,.313,.317,.377,.394,.302,.313,17,.318,.107,21.9,87.7,91.6,5,142,38.9,5.1,3.9
"Miranda, Jose",1540,1540,100.0,428,401,339,114,73,28,4,9,66,15.4,17,4.0,181,805,.284,.259,.320,.298,.441,.399,.328,.306,20,.318,.157,22.5,88.9,92.0,16,161,38.9,5.9,4.7
"Tauchman, Mike",1537,1537,100.0,350,298,229,74,54,12,1,7,70,20.0,47,13.4,159,707,.248,.242,.357,.353,.366,.380,.325,.330,17,.302,.117,22.5,89.0,91.0,15,168,41.0,7.4,4.9
"Moniak, Mickey",1534,1534,100.0,418,392,279,86,53,17,2,14,114,27.3,21,5.0,266,870,.219,.221,.266,.267,.380,.379,.281,.283,26,.272,.161,30.6,87.7,91.5,20,151,34.4,9.3,6.2
"Moreno, Gabriel",1532,1532,100.0,349,305,256,81,57,18,1,5,52,14.9,39,11.2,117,631,.266,.255,.350,.341,.380,.384,.324,.324,17,.303,.115,18.5,90.0,91.5,9,163,41.0,6.6,4.9
"Hernández, Enrique",1518,1518,100.0,393,362,289,83,55,16,0,12,77,19.6,27,6.9,170,743,.229,.233,.281,.286,.373,.362,.285,.285,14,.257,.144,22.9,88.9,91.6,17,161,41.5,4.8,3.6
"Fry, David",1515,1515,100.0,388,335,255,88,55,18,1,14,84,21.6,38,9.8,185,746,.263,.246,.350,.337,.448,.394,.347,.326,19,.307,.185,24.8,88.1,91.8,19,163,37.6,7.5,4.9
"Bauers, Jake",1512,1512,100.0,345,302,184,60,37,9,2,12,118,34.2,38,11.0,202,693,.199,.201,.299,.301,.361,.379,.294,.302,19,.279,.162,29.1,88.5,91.3,23,166,42.9,10.3,5.5
"Espinal, Santiago",1505,1505,100.0,390,357,311,88,67,12,0,9,54,13.8,23,5.9,109,737,.246,.258,.293,.305,.356,.344,.285,.288,6,.265,.109,14.8,85.3,90.0,15,157,24.1,1.9,1.5
"Kepler, Max",1498,1498,100.0,399,368,291,93,63,21,1,8,80,20.1,22,5.5,191,783,.253,.247,.302,.300,.380,.381,.298,.301,18,.300,.128,24.4,88.7,91.9,17,160,36.8,6.2,4.5
"Kirk, Alejandro",1495,1495,100.0,385,340,298,86,61,19,1,5,51,13.2,34,8.8,109,696,.253,.257,.317,.330,.359,.392,.297,.324,20,.276,.106,15.7,89.4,91.9,11,161,40.9,6.7,5.2
"Hayes, Ke'Bryan",1470,1470,100.0,395,365,294,85,72,9,0,4,75,19.0,22,5.6,119,658,.233,.244,.281,.295,.290,.327,.256,.279,7,.279,.058,18.1,88.9,91.8,5,153,42.9,2.4,1.8
"Buxton, Byron",1458,1458,100.0,387,355,258,99,51,27,3,18,99,25.6,19,4.9,253,788,.279,.264,.333,.320,.524,.502,.366,.353,34,.338,.245,32.1,91.7,92.9,20,161,48.1,13.2,8.8
"Dubón, Mauricio",1450,1450,100.0,428,402,355,108,79,25,0,4,55,12.9,16,3.7,164,872,.269,.248,.296,.281,.361,.330,.286,.272,10,.299,.092,18.8,85.0,90.4,14,155,26.5,2.8,2.3
"Clement, Ernie",1449,1449,100.0,451,434,397,114,78,21,3,12,41,9.1,10,2.2,119,826,.263,.252,.283,.274,.408,.373,.297,.282,15,.266,.145,14.4,84.9,90.6,16,155,24.9,3.8,3.3
"Fermin, Freddy",1434,1434,100.0,367,339,277,92,72,14,0,6,66,18.0,22,6.0,168,731,.271,.244,.317,.292,.366,.334,.300,.279,9,.319,.094,23.0,86.4,91.3,10,141,33.9,3.2,2.5
"Rizzo, Anthony",1432,1432,100.0,375,337,274,77,57,12,0,8,65,17.3,27,7.2,136,703,.228,.240,.301,.314,.335,.340,.285,.297,11,.259,.107,19.3,86.7,91.3,14,147,33.2,4.0,2.9
"Lee, Korey",1429,1429,100.0,393,377,255,79,52,14,1,12,122,31.0,16,4.1,312,842,.210,.212,.242,.244,.347,.338,.256,.255,19,.276,.138,37.1,87.5,91.3,9,152,37.6,7.5,4.8
"Crow-Armstrong, Pete",1421,1421,100.0,408,372,285,88,59,13,6,10,98,24.0,19,4.7,258,862,.237,.223,.282,.271,.384,.367,.289,.281,21,.292,.148,29.9,84.6,91.0,14,158,36.8,7.4,5.1
"Marte, Starling",1417,1417,100.0,369,335,259,90,67,13,3,7,81,22.0,26,7.0,202,712,.269,.287,.325,.342,.388,.425,.313,.337,18,.333,.119,28.4,87.9,91.9,3,135,42.9,6.9,4.9
"Wood, James",1404,1404,100.0,335,295,198,78,52,13,4,9,97,29.0,38,11.3,159,537,.264,.269,.352,.357,.427,.439,.342,.351,21,.365,.163,29.6,92.8,93.6,3,150,52.0,10.6,6.3
"Drury, Brandon",1397,1397,100.0,360,325,247,55,44,7,0,4,81,22.5,27,7.5,159,652,.169,.202,.242,.276,.228,.287,.217,.259,9,.210,.058,24.4,87.6,91.4,6,129,35.6,3.6,2.5
"Toro, Abraham",1394,1394,100.0,363,337,277,81,57,17,1,6,62,17.1,19,5.2,117,671,.240,.245,.291,.295,.350,.365,.283,.291,12,.279,.110,17.4,86.9,91.1,12,143,29.6,4.3,3.3
"Contreras, Willson",1382,1382,100.0,356,301,205,79,47,17,0,15,96,27.0,43,12.1,241,688,.262,.258,.376,.373,.468,.455,.370,.365,23,.337,.206,35.0,91.6,92.6,14,157,46.8,11.2,6.5
"Freeman, Tyler",1381,1381,100.0,382,330,283,69,47,14,1,7,53,13.9,27,7.1,106,647,.209,.236,.303,.327,.321,.338,.283,.302,9,.227,.112,16.4,86.9,91.6,13,147,34.6,3.2,2.4
"Sosa, Lenyn",1377,1377,100.0,368,351,277,89,68,13,0,8,77,20.9,11,3.0,144,726,.254,.278,.281,.307,.359,.419,.280,.316,17,.303,.105,19.8,88.6,91.4,12,173,41.2,6.1,4.6
"Correa, Carlos",1375,1375,100.0,363,319,262,99,63,20,2,14,61,16.8,36,9.9,125,613,.310,.278,.381,.356,.517,.455,.385,.358,24,.343,.207,20.4,90.3,93.2,9,160,44.7,9.2,6.6
"Gonzales, Nick",1371,1371,100.0,386,359,290,97,68,19,3,7,74,19.2,17,4.4,192,770,.270,.270,.309,.312,.398,.407,.307,.317,23,.319,.128,24.9,87.7,91.4,13,151,36.9,7.9,6.0
"Jansen, Danny",1367,1367,100.0,322,276,219,56,34,13,0,9,60,18.6,40,12.4,116,556,.203,.202,.307,.307,.348,.333,.293,.290,14,.224,.145,20.9,86.6,91.1,22,166,29.7,6.4,4.3
"Rortvedt, Ben",1357,1357,100.0,327,289,202,66,50,13,0,3,87,26.6,34,10.4,156,584,.228,.203,.318,.296,.304,.288,.284,.267,7,.317,.076,26.7,86.0,90.6,12,142,30.7,3.5,2.1
"d'Arnaud, Travis",1353,1353,100.0,341,307,222,73,42,16,0,15,89,26.1,24,7.0,225,686,.238,.236,.302,.305,.436,.434,.319,.322,23,.280,.199,32.8,89.9,92.0,12,157,41.0,10.4,6.7
"Tucker, Kyle",1349,1349,100.0,336,277,225,80,44,13,0,23,54,16.1,53,15.8,107,564,.289,.279,.402,.394,.585,.536,.419,.400,29,.282,.296,19.0,91.1,92.2,21,179,44.9,12.9,8.6
"Cave, Jake",1345,1345,100.0,345,323,229,81,53,16,5,7,98,28.4,17,4.9,200,708,.251,.233,.288,.273,.396,.357,.295,.277,12,.335,.146,28.2,86.9,91.0,8,150,37.1,5.2,3.5
