Player,Pitches,Total,Pitch %,PA,AB,BIP,Hits,1B,2B,3B,HR,SO,K%,BB,BB%,Whiffs,Swings,BA,xBA,OBP,xOBP,SLG,xSLG,wOBA,xwOBA,Barrels,BABIP,ISO,Whiff%,EV (MPH),Adj. EV (MPH),LA (°),Dist (ft),Hard Hit%,Barrel/BBE%,Barrel/PA%,Year
"Votto, Joey",411,411,100.0,96,80,45,14,9,3,0,2,36,37.5,14,14.6,57,162,.175,.189,.302,.314,.287,.294,.273,.280,2,.279,.113,35.2,90.4,90.6,14,150,42.2,4.4,2.1,2024
"Koch, Grant",405,405,100.0,100,89,55,17,13,2,0,2,34,34.0,8,8.0,71,191,.191,.174,.265,.252,.281,.211,.248,.217,0,.283,.090,37.2,81.6,89.5,17,133,20.0,0.0,0.0,2024
"McCarthy, Ryan",403,403,100.0,103,86,58,20,14,6,0,0,28,27.2,15,14.6,55,161,.233,.182,.359,.320,.302,.240,.307,.269,1,.345,.070,34.2,85.4,91.2,8,144,27.6,1.7,1.0,2024
"Gorman, Nolan",402,402,100.0,98,88,66,18,7,4,0,7,23,23.5,9,9.2,57,184,.205,.226,.276,.299,.489,.489,.324,.340,10,.186,.284,31.0,89.9,92.2,15,166,47.0,15.2,10.2,2024
"Knizner, Andrew",402,402,100.0,113,99,76,23,17,4,0,2,24,21.2,10,8.8,43,183,.232,.230,.319,.317,.333,.307,.293,.284,3,.284,.101,23.5,86.2,91.4,9,144,38.2,3.9,2.7,2024
"Martini, Nick",400,400,100.0,100,82,61,25,11,7,0,7,22,22.0,16,16.0,34,155,.305,.242,.420,.373,.646,.421,.446,.354,6,.333,.341,21.9,91.3,92.3,12,166,47.5,9.8,6.0,2024
"Sanchez, Junior",400,400,100.0,103,93,71,21,16,4,1,0,23,22.3,8,7.8,34,171,.226,.216,.291,.285,.290,.294,.262,.264,2,.296,.065,19.9,83.9,89.7,1,149,25.4,2.8,1.9,2024
"Martin, Christian",399,399,100.0,96,68,56,14,13,1,0,0,13,13.5,24,25.0,24,137,.206,.215,.432,.438,.221,.264,.331,.347,0,.255,.015,17.5,82.0,89.7,3,145,19.6,0.0,0.0,2024
"Olivares, Edward",398,398,100.0,108,95,81,25,20,2,0,3,15,13.9,9,8.3,30,177,.263,.244,.343,.327,.379,.362,.321,.308,3,.282,.116,16.9,85.2,91.4,12,134,34.6,3.7,2.8,2024
"Mitchell, Nick",396,396,100.0,103,90,73,26,19,2,1,4,20,19.4,7,6.8,35,194,.289,.205,.350,.280,.467,.324,.350,.270,3,.319,.178,18.0,85.7,90.3,13,149,23.3,4.1,2.9,2024
